payment_id,order_id,customer_id,payment_date,gross_amount,fee,refund,net_amount,settlement_id,currency,status
PAY2001,ORD5001,Acme Traders,2026-09-01,69116.48,1036.75,0,68079.73,,INR,captured
PAY2002,ORD5002,Bluewave Logistics,2026-09-01,28079.23,421.19,0,27658.04,,INR,captured
PAY2003,ORD5003,Crestline Foods,2026-09-01,24242.83,363.64,0,23879.19,,INR,captured
PAY2004,ORD5004,Delta Textiles,2026-09-01,37099.95,556.5,0,36543.45,,INR,captured
PAY2005,ORD5005,Everline Media,2026-09-01,58752.04,881.28,0,57870.76,,INR,captured
PAY2006,ORD5006,Falcon Freight,2026-09-01,48917.23,733.76,0,48183.47,,INR,captured
PAY2007,ORD5007,Greenfield Farms,2026-09-01,70225.32,1053.38,0,69171.94,,INR,captured
PAY2008,ORD5008,Horizon Retail,2026-09-01,20504.41,307.57,0,20196.84,,INR,captured
PAY2009,ORD5009,Indigo Health,2026-09-01,59107.66,886.61,0,58221.05,,INR,captured
PAY2010,ORD5010,Jupiter Electronics,2026-09-01,67963.57,1019.45,0,66944.12,,INR,captured
PAY2011,ORD5011,Kestrel Analytics,2026-09-01,24021.21,360.32,0,23660.89,,INR,captured
PAY2012,ORD5012,Lumen Energy,2026-09-01,31081.21,466.22,0,30614.99,,INR,captured
PAY2013,ORD5013,Meridian Pharma,2026-09-01,44679.02,670.19,0,44008.83,,INR,captured
PAY2014,ORD5014,Novastar Apparel,2026-09-01,69309.92,1039.65,0,68270.27,,INR,captured
PAY2015,ORD5015,Oakridge Furniture,2026-09-01,71513.27,1072.7,0,70440.57,,INR,captured
PAY2016,ORD5016,Pinecrest Consulting,2026-09-01,11062.57,165.94,0,10896.63,,INR,captured
PAY2017,ORD5017,Acme Traders,2026-09-01,70186.66,1052.8,0,69133.86,,INR,captured
PAY2018,ORD5018,Bluewave Logistics,2026-09-01,20210.15,303.15,0,19907.0,,INR,captured
PAY2019,ORD5019,Crestline Foods,2026-09-01,44597.17,668.96,0,43928.21,,INR,captured
PAY2020,ORD5020,Delta Textiles,2026-09-01,12561.56,188.42,0,12373.14,,INR,captured
PAY2021,ORD5021,Everline Media,2026-09-01,35155.2,527.33,0,34627.87,,INR,captured
PAY2022,ORD5022,Falcon Freight,2026-09-01,31163.81,467.46,0,30696.35,,INR,captured
PAY2023,ORD5023,Greenfield Farms,2026-09-01,53080.12,796.2,0,52283.92,,INR,captured
PAY2024,ORD5024,Horizon Retail,2026-09-01,25596.09,383.94,0,25212.15,,INR,captured
PAY2025,ORD5025,Indigo Health,2026-09-01,72050.71,1080.76,0,70969.95,,INR,captured
PAY2026,ORD5026,Jupiter Electronics,2026-09-01,51098.02,766.47,0,50331.55,,INR,captured
PAY2027,ORD5027,Kestrel Analytics,2026-09-01,53068.6,796.03,0,52272.57,,INR,captured
PAY2028,ORD5028,Lumen Energy,2026-09-01,50938.11,764.07,0,50174.04,,INR,captured
PAY2029,ORD5029,Meridian Pharma,2026-09-01,6475.15,97.13,0,6378.02,,INR,captured
PAY2030,ORD5030,Novastar Apparel,2026-09-01,48767.75,731.52,0,48036.23,,INR,captured
PAY2031,ORD5031,Oakridge Furniture,2026-09-01,38711.27,580.67,0,38130.6,,INR,captured
PAY2032,ORD5032,Pinecrest Consulting,2026-09-01,26794.69,401.92,0,26392.77,,INR,captured
